b311a5a97c	ce775	এখনও আটকে আছেন
b3124c5d6d	577fa	নিহত৬১ জনের
b3129b31cd	0a7a0	শুরু হোক
b3129f5d8d	4ea73	উপজেলা নির্বাচন সামনে আছে
b313305376	7c272	আমাদের উন্নতির আদর্শ
b3135640f5	6e8cb	বাংলাদেশে পথ-শিশুর সংখ্যা
b313db333f	880ae	সেই সুযোগ পায় না
b31413ffde	2fe3c	গোষ্ঠীপতি দ্বিজস্বামী
b314bac247	9351a	শ্রমিকদের বেতন কাঠামো পুননির্ধারণে
b31516e178	698a4	গত রোববার রাত থেকে
b316098142	4e900	এই কাজটিও করবেন
b3162e100c	43199	আলোচনা হয়নি
b3165a5b1a	c6848	আর এই পদ্ধতিতে
b316e29a2e	47e8d	হয়ে বসে আছে
b3170cbe5d	a0277	আমাদের নিজেদের মধ্য থেকে
b3176f7f3e	698a4	শ্রমশিবির বন্ধ করে দেয়াসহ বিভিন্ন আইন ও নীতিমালায় ব্যাপক সংস্কার করার ঘোষণা দিয়েছে চীনা কর্তৃপক্ষ।
b317842b6d	32c77	হেরেই চলেছেন
b317c22d11	767ff	তসলিমা নাসরিনের আত্মজীবনী
b3186e101c	03284	পররাষ্ট্র সচিব জানিয়েছেন
b319031cf4	7f2ef	ও তার শীর্ষ সন্ত্রাসীরা
b319122dc3	491a5	করে যাচ্ছেন তারা
b3196095c9	dba43	ফিরে এসে এমনটাই
b319775fe3	ee994	সঙ্গী হয় কলকাতা
b319824081	7e1d5	দীর্ঘমেয়াদী পরিদর্শনের কাজ
b3198aa8ea	ac904	ঘটনা সম্পর্কে তিনি
b319a475b2	3fb17	অনিকের সঙ্গে
b319d34345	5dec6	সব আয়োজন সম্পন্ন করেছে
b31a9f23cc	08458	কোন ভোটকেন্দ্র ছিলনা
b31abad21b	2d98b	তাতে টাঙিয়ে দেয় কঙ্কাল
b31b4bc508	870e3	সংক্ষিপ্ত এই সময়ের মধ্যে
b31b6f56cf	d3e06	ব্যবহৃত করার
b31b81a19f	da6f0	পাগল হয়ে যাব
b31b9b67d9	2ad74	সরকারের ঊর্ধ্বতন কয়েকজন কর্মকর্তা
b31c030856	7df87	জন্য নয়
b31c412ecb	3f875	চলচ্চিত্রে রূপায়িত করেন রবীন্দ্রনাথ
b31c892ad2	17dcd	মি. মুখার্জির অভিজ্ঞতা
b31cbab6dd	0696e	এরপর আর কিছু মনে নাই
b31d200e74	bd576	এলাকাভিত্তিক এদের
b31dc29758	75936	রাধাচূড়া
b31df44650	ec91c	গর্তে ঢুকেছিল হয়তো
b31df9ba60	3f875	প্রমাণ পাওয়া যায় না
b31e2f010f	dafb6	আন্তর্জাতিক অলিম্পিক এসোসিয়েশন
b31e7bee57	6da0a	পুরুষদের সমমতা বলিতেছি
b31e94a3ba	e7230	এ সম্পর্কে
b31ebf6129	e43d4	পণ্য ও যন্ত্রপাতি আছে
b31ed05e9b	e50f1	রাত্রের ঘটনাটা বললে
b31f5272f3	fdcba	বাঙালি সংস্কৃতির প্রগাঢ় জারকরসেই
b3200a95fe	717bb	একই সঙ্গে দিশা গীত
b3201ff5fd	1a2a1	ব্যক্তিগণের মধ্য থেকে
b3213fc112	75626	মেঘনার সঙ্গে সম্পর্ক চুকাইয়া
b3214fac41	bdd05	মহাকাশ যানের ব্যাপারে
b3215be776	b78ec	জিনিসপত্র কতক টেনে হিঁচড়ে
b3216a8db7	7e191	তবে এগুলোর মধ্যে
b32186b47b	809cd	স্থানীয় ভাষায় বলে শামপুর
b321ef2e9a	5dd61	নির্জন কোনো জায়গার দিকে
b322a0e3ff	4fd66	আইভি লীগ হল
b3230bc00e	14d25	আইনজীবী মিজান সাঈদ
b3232dc0f3	c1e30	ইরাকের রাজধানী বাগদাদসহ
b323aaaee1	c958a	জনসংখ্যা হল ৯৫৩৪ জন
b323c52013	16877	গণতন্ত্রের জনক বলে
b3240d0fa1	4fd66	সবুজবাগে জন্মগ্রহণ করেন
b3242794d2	9065c	ক্রিকেট বোর্ডের একজন পরিচালক
b324542005	92bb2	খুবই কঠোর
b324732694	b78ec	২০১৭ সাল থেকে
b324c7c62a	e9fa7	কোন উপায় ছিলো না
b32510d710	4bd2c	বল দেখি
b3255b55fb	e2f12	জয়বর্ধনে ৭২ রান করে
b326391c22	351dd	তাকে সিঙ্গাপুরে স্থানান্তর করার আগে
b32692e0ca	31f09	২০০৩ সালে ঋতুপর্ণ ঘোষের পরিচালনায় নির্মিত হয় ‘চোখের বালি’।
b326b7b535	39293	এখন সবকিছু
b326bb0268	b2a62	বিক্ষোভকারীর সংঘর্ষে
b326d1e276	870e3	এর ঠিক উল্টো প্রতিক্রিয়া
b326d2191d	932bb	ভাড়া নিতে পারি না
b32711e2c4	69449	ওই চুক্তির
b3275276b8	fda1a	নিয়োগ করা হয়
b32770e9eb	14d25	মিস শারমীন বলছিলেন
b3278d5e82	86b1b	সম্প্রতি বাংলাদেশের
b32794895b	ad2a0	অনেকগুলো চালু করেছে
b327ee2e3b	80e98	তেজস্ক্রিয় গামা রশ্মির
b3289d9fa7	91223	মলিন নলিন বেশ
b329558d96	82926	পরিণামে সুস্মিতাকে বেছে নিতে হয় আত্মহত্যার পথ।
b3296d317b	ee886	মালয়েশিয়া জানিয়েছে তারা আরো বড় এলাকজুড়ে এখন অনুসন্ধান চালাবে।
b32a02d4ff	6a35e	ড. মিজানুর রহমান
b32a0659dc	0895a	আরও গহন গ্রামের দিকে
b32a70daa7	eecdd	প্রশ্ন উঠেছে যে
b32ab930dd	3c897	বাঘার কান্না
b32acb2369	2fc12	সহ্য করেছেন
b32b8fd7d6	acb88	গাছের শিকড়ের মতো চিত্রল হয়ে
b32ba43b8d	d2faf	এ কম লজ্জার নয়
b32bb99c61	c4973	কথা বলতে পারে
b32c632463	b9b98	যেমন, ব্লকপ্রিন্ট, স্ক্রিনপ্রিন্ট
b32c7d83df	2b883	কোনো টাকা নেই
b32c93f731	0edef	না নামাজ পড়বেন
b32cc516ff	420df	ওয়ালিউল ইসলাম
b32d2b0289	c173f	তার ব্যবহৃত মোবাইল ফোন
b32d70e968	e754e	আমি জানলা দিয়ে
b32dded0e4	4fc91	তখন কিন্তু সঙ্গে
b32e2039aa	6b437	দ্য ব্রিটিশ এম্পায়ার
b32e3e9b88	d136b	এ কারণে দেশের জনগণ
b32e6f7e21	430b2	তিনি হ্যারল্ড পিন্টার
b32f3d3526	c7a89	রিট আবেদন দায়ের করেন
b33055d9c6	e6d83	চরম সুখ
b33074fc72	932bb	সুতানুটি গোবিন্দপুরের
b330e8b65f	80518	ফুঁটুক, কাঁটা হেরি ক্ষান্ত
b331201261	976b1	বাংলাদেশের দ্বিতীয় দল হিসেবে
b33155dec9	93080	যুগ্ম মহাসচিব
b3319095c3	18a52	বিচ্ছিন্ন করার অপচেষ্টা থেকে
b3324bfd8e	80be1	১৯৮৪ সালে সত্যজিতের পরিচালনায় নির্মিত হয় ‘ঘরে বাইরে’।
b33258539c	b8fe1	জগতে আর কোনও খাদ্য নেই
b3329da2e7	6c6bf	শিক্ষা লাভ করেছেন
b332c34ca5	49543	বউমাকে কোথাও
b332f9d043	2ee04	কবির স্বাভাবিক অভিব্যক্তি হিসেবে
b33312d8c9	0d9f1	একেবারে ভিন্ন
b33375119f	2556b	নির্ণয় করা সম্ভব হবে
b334002afa	9f25e	নানিকে বলা হল
b334142364	8143b	জাপান সরকারও জানিয়েছে
b334b2f156	0606d	রাক্ষস বিবাহ বলে
b3352600f3	65e30	দ্বিপাক্ষিক বিনিময়
b3356de8f1	31f09	পৃথিবীর মাটিতে এসে পড়ত
b335e3b7d7	3bea8	কুকুর মাঝেমধ্যে নিজের শরীর কামড়ায়
b336964e20	23b22	চরমোনাই পীর বলেন
b336ba5d5e	3f875	শাহতলী স্টেশন অতিক্রমকালে
b337ad53e0	93bf3	এই চিত্রটা
b337d250e6	ff1c3	রাজার চোখ ভাল হইল
b3381b041e	a274b	সন্দেহাতীতভাবে প্রমাণিত হয়েছে
b3383e2120	e8dde	ট্র্যাভেল ভিসা নিয়ে এখানে
b3386a238c	dfefa	অনেকটা আকস্মিকভাবেই তারা
b339026422	e9fa7	শ্রেষ্ঠ কবি প্রতিভা
b339601f1e	ad98d	ন্যায্য মজুরি
b33a135cb7	5dd61	উন্মাদ
b33a19257e	ee7b2	তফসিল ঘোষণাসহ
b33a984a32	f2097	কেন্দ্রীয় ব্যাংক, পরিসংখ্যান ব্যুরো
b33ac9b7fb	d2faf	এবং রাখি বিড়লা
b33b40fa02	16cfb	তাহলে তার বিরুদ্ধে
b33bcaaffb	cc9fd	ওইভাবে করা হয়েছে
b33bcf4f4c	f1240	সূর্যের দিকে
b33c2567a8	2c9c5	সর্বদলীয় একটি সরকারের অধীনে
b33c62f446	491a5	ব্যবহার করা হত
b33c8f66bf	e2ff7	ভালো লেগেছে
b33c90fb9d	0606d	নতুন পৃথিবীর সৃষ্টি
b33cc440b9	18a52	স্মৃতি ইরানি
b33d531a69	13b6a	আজ আমি বড় একা
b33d5d3022	ced74	টাক
b33e312163	ea8fa	মধুসূদন সরকার ছিলেন
b33e634257	da6f0	উপস্থিত লোকজনের
b33f29ee2c	a46e2	তাহলে তা কি
b33f5620b8	2ad74	বোরকা পরিহিত নারী
b33fd09817	3bea8	বাস্তবায়িত হলে
b34002827a	f280a	একটি স্থিরতা আসবে
b3404c03a9	d1a48	ও ভিওআইপি সফটওয়্যার
b340b18c9e	9d46f	হারিয়ে যাচ্ছে
b3410ebdd5	7c272	চলতি বছর জানুয়ারিতে
b3411f8c6c	b4ea7	আমাদানি পণ্যও
b3414d4664	cf82a	ডসন ক্রিক শহর পর্যন্ত
b3425362e3	355c1	দেখে হাত নাড়ল
b3427acda6	4a67e	ক্রেন ও যান্ত্রিক প্রযুক্তি ছাড়াই
b342a06309	2695f	সে ফিনফিনে হোক
b342c69355	e03ce	ট্রেন চলাচল স্বাভাবিক হবে
b3431b325c	442b7	অস্ট্রেলিয়া
b3437a7562	32998	অগ্নিসংযোগ হয়েছে
b343df87ae	7297e	শুয়োরের মত
b3446be0d2	239f7	আমরা কার্ডের নিরাপত্তা কিভাবে বাড়ানো যায় সেগুলো নিয়ে চিন্তা ভাবনা করছি।
b34499827f	274ee	ঘোড়া বলি দেওয়ার
b344d2bd45	14d25	বের করে দিয়েছিলো
b344d90e52	bbb22	এখনো আছে
b344e65dcb	2f547	বিকাল সাড়ে ৪টায় বসেছে
b344f18e36	0d9f1	চরিত্র নিয়ে কতগুলো লক্ষ্যভেদী
b345419abe	4164f	দর্শক-শ্রোতাদের উপহার দেয়ার
b34578158b	37d7e	তুরস্ক
b345f6ec0e	bdd05	সুইস কর্তৃপক্ষ
b345fa9be3	ff1c3	বিচক্ষণ জনের
b346208f98	2909b	যমুনা গ্রুপ
b3463df439	ad2a0	সংস্কার বাস্তবায়ন কোনো মতেই
b34645a79b	967fd	তার বক্তব্য শুরু করেন
b3465a0dd6	8cf95	জট খুলল
b3465bdee9	c173f	এ ঘটনায় ফারুকের বিরুদ্ধে
b34662729a	9b864	এখনকার অভিযোগের ব্যাপারে
b3476c56e3	79b06	সেটাও একটি
b348005369	8cf95	অপেক্ষারত রোগীরা জানেননা
b34822d1c2	b5fdc	সার্থক ট্রাজেডি হিসেবে পরিচিত
b348563ac0	2de86	হাঙ্গেরির বুদাপেস্টে প্রাথমিকভাবে
b348585630	82926	নিষেধাজ্ঞা দেয়া হয়েছিল
b3486bfef2	2396d	নিরাপত্তা ঝুঁকির দিকও
b3487be71f	e2ff7	জমি আবাদ করার দিকে বেশি
b348b545b1	c11b1	নতুন ছাত্র বিষয়ক উপদেষ্টা নিয়োগ দেয়া হয়
b348cb8944	91b16	জ্ঞান হারিয়ে ফেলছেন
b348e107d7	13b6a	ব্যবস্থা গ্রহণের প্রস্তুতি নেয়া হচ্ছে
b34902708e	2d78f	বঙ্কিমচন্দ্র চট্টোপাধ্যায় কল্পতরুকে
b3495aecf2	2fc12	তাতে আমাদের বিন্দুমাত্র সংশয় নাই
b349705d00	860f4	পরিবর্তন করার ফলে
b349899b8a	a43b5	অভিনয় করবেন
b34b1080a8	98b81	গাজার উপকারিতা
b34b271ad1	d2294	টেলিভিশন সিরিজ টুয়েন্টি ফোর
b34b3f5936	05901	স্বাগত জানাই
b34b8bee0d	d2d71	আমি বলিয়াছি
b34be83707	f2780	যাকে দেখতে দিয়েছিল
b34c1efb89	91b16	জীবনের শেষ দিকটাতে তাঁর সমালোচনামূলক বক্তব্যকে ঘিরে আওয়ামী লীগের সাথে অনেক ক্ষেত্রে সম্পর্কের টানাপোড়েন দেখা গেছে।
b34c35e3fd	6b437	এভাবেই ২০১৩ ফেব্রুয়ারিতে
b34c3f7e27	ce629	রেলের উদ্ধারকর্মীরা
b34c931242	92bb2	বেশি অগ্নিদীপ্ত ও জ্বালাময়
b34ca6d1be	e7230	পুনরাবৃত্তি কেন থামানো যাচ্ছে না
b34d2b0b84	5e80b	কম্পিউটার কম্পোজ ব্যবসার আড়ালে
b34ee2fa3b	089ef	অর্থনৈতিক মন্দা মোকাবেলায়
b34f40e6e2	3b1f7	রান্না বিষয়ক বিশেষ অনুষ্ঠান
b34fabd568	3fb17	বৃত্তি
b34fd184b4	85430	উপস্থিত হইল
b350002fb2	b9122	মুরগি ১টি
b3503acbd2	a1201	ফোটোশপ টিউটোরিয়াল
b350573485	1c618	বেলাল মোহাম্মদের কফিন নিয়ে
b350b20eb6	404ee	বিড়ি
b35112e793	8632b	ক্ষমতাসীন দল আওয়ামী লীগের সাধারণ সম্পাদক সৈয়দ আশরাফুল ইসলাম হেফাজতে ইসলামকে কড়া ভাষায় সতর্ক করে দিয়েছেন।
b351252148	1652d	ক্লাসের জ্যাঠা ছেলে
b3532cc353	29089	সীতু হাফ প্যান্টের নীচে
b353b27c69	fd880	মহিলাদের দেখলে
b353c6ea1a	d9b11	অল্প পরিমান ক্যালরি
b354abf133	554fe	নিয়ন্ত্রণে থাকে
b354b05d54	b7be9	মাস্টাররা না পড়িয়ে
b3552a267b	ca088	দেখানো হয়নি
b3553e1bb0	7898e	জুবায়ের নিহত হওয়ার পর
b355b8ee16	cc18a	রাজনৈতিক নেতৃত্ব
b355fc9e8b	14816	ভালোমন্দ নিয়েও আলোচনা হচ্ছে
b3565dd560	47e8d	সুনিশ্চিতভাবে নির্ধারিত হয়
b356b26c38	256f5	দিল্লির এই যুবাকে
b357047fa5	ee4ad	ম্যালথাসের জীবন-মৃত্যুর
b357448f5d	1f974	স্নাতক শিক্ষাগ্রহণকালে
b357915d89	520fb	যার মাধ্যমেও
b357e08afe	92bb2	কোথাও দোকানপাট
b357f0df26	5a61c	তখনো অতিবুদ্ধিমানদের
b357f86ecf	c958a	নির্মাণের প্রয়াস গ্রহণ করেছিলেন
b357fc4210	66c6b	প্রত্যাহারের প্রস্তাব দিতে পারেন
b357fd774e	2f547	প্রাথমিক প্রস্তুতি
b358acce04	1de6c	তিনি না খেয়ে ছিলেন
b358f47289	aa820	বিভিন্ন সভা সমাবেশেও বলেছি
b35907f79a	4a67e	পরবর্তী নির্বাচনে
b3590d61f8	69d9a	কিছু কিছু জিনিস আছে
b3592c448f	31f09	যথাক্রমে ধাতুনির্দেশ
b35937850e	e03fc	নেইমার
b3597fed0d	95907	এরা ব্যাংকের এটিএম বুথগুলো
b359a9c85a	d8c80	এরপর আর ফেরেনি
b359ab4e23	aa820	বড় জমীদার ছিলেন
b35a4dcef8	948d3	পাকিস্তান টসে জিতে
b35a85f5c6	b08d0	তামাশা দেখার জন্য
b35a9206a2	ab946	এমসিকিউ প্রশ্নে
b35a94ede4	a8710	প্রায় একই ভাষায়
b35c0b7f8b	0d4cb	আনুমানিক খ্রিস্টপূর্ব ২৩০০ অব্দে
b35c133faf	274ee	আমার ঠাকুরমা
b35c86bdb5	b08d0	নবযুগের আলোকে
b35c880b34	410fa	ক্লান্ত হয়ে ফেরে মনে
b35d1b13a9	e55de	ধূমকেতুর মতো
b35d80bdf2	ad98d	বিভাগীয় কমিশনারের
b35da494b6	9813c	সময় বেঁধে দেয়ার
b35db116fc	e9fa7	ঢাকা বিশ্ববিদ্যালয়ের ছাত্র
b35db33b06	9d46f	অনুমোদন দিতে
b35e38625b	6ab59	ফাতিমা
b35e8f0c46	8632b	তড়িত পরিবাহিতা
b35ea5d731	e31e7	আমাদের রাজ্য সরকার
b35ead067d	509f6	শিবানী এবং তাঁর ছেলেমেয়েরা
b35ee57a3d	967fd	অপারেশন খরচাখাতায়
b35f5861b1	5e80b	মেয়ের অবস্থা দেখে
b35fa5f6b3	4f2ae	স্রেফ বাংলাদেশ
b35fb7e1d4	80518	নিবন্ধন পরীক্ষার সার্কুলার
b360126f6d	49543	তার কাজ আলমারি থেকে
b360788cfb	0606d	অনন্ত এ কথা নিশ্চিত করেছেন
b36091e236	932bb	দোজখের ওম গল্পগ্রন্থে
b36139105c	2bc73	শুরু করেছিলেন আহসান হাবীব
b361c9c3a9	db181	লাদেন
b3621031d2	ac904	আপনাকে ব্যবসা
b362a59bc6	745b7	এতে বালা মুসিবত দূর হবে
b3639520c9	e6752	তাদের যুদ্ধে অংশগ্রহণের
b36444807d	0606d	ভাংচুর করা হয়েছে
b364ce67e4	5dd61	আমহারা জাতির
b365befae7	16a17	আজ অধ্যক্ষ স্যারকে
b365c06bdc	2ac82	কিছুক্ষণ দাঁড়িয়ে থাকে
b36635562d	b9122	দায়িত্ব পালনের জন্য
b3665381e0	388c9	তদন্ত হয়নি
b36665615c	943de	শ্রমিক প্রশিক্ষণ কেন্দ্র হিসেবে
b3668e166e	6ee5f	আজকের বিশ্ব
b366919854	c41d8	যেই চোখ লাগে
b36794223e	767ff	যেকোনো কাজ
b36798b266	0edef	সম্পূর্ণ ব্যাখ্যা করা অনেকটাই অসম্ভব
b367a35f51	03284	সেটি চূড়ান্ত হয়েছে
b367c98bcf	17ca1	আনন্দে লাফিয়ে ওঠে
b368101fae	ca831	হিমালয়
b3681f7d7a	b78ec	দ্বিতীয় ম্যাচ
b3685620a9	6c6bf	কি করছে
b368657053	fd880	তাঁকে দেবার প্রস্তাব হয়েছিল
b368679e5e	75f18	তিনি হ্যারল্ড পিন্টার
b36868fdf7	2aecc	ফুটিয়ে তোলার জন্য
b3689056c3	ce180	সবগুলো গানের সুর করেছেন তিনি
b36895d610	a43b5	নির্বাচনে আনার দায়িত্ব
b368cd04db	adf01	পুনর্বিন্যস্ত সংসদীয় আসনের সীমানা
b368e76722	2aecc	বিস্ফোরিত হয়
b368ecffc8	29f8c	স্বামী অভিষেক ছাড়াও
b369330a50	c2082	এ সম্পত্তি উইল করে গেছেন
b36961b875	38ff0	অক্ষয়কুমার বড়াল
b3696c32d1	35ef3	শর্ট ও লং পাঞ্জাবি, ফতুয়া
b36978dbfa	af81d	আপনি আপনার ব্যক্তিগত
b369965518	0bace	ফটোকপি
b369a2d43d	92bd8	বেশ কয়েকটি ঘটনা
b36a78ccc5	85430	ঈদ বাজেটে পরিমিত ব্যয়ের মাধ্যমে ভালো কিছু করার পরিকল্পনা করুন বুদ্ধি খাটিয়ে।
b36abd4389	5d12f	একই সাথে
b36ac1fbd7	fd880	ভিসা চেক
b36af06891	80518	ঘেরের পাশে
b36b4046e6	1b359	এই কাকডাকা ভোরে
b36b570a6a	7e191	দশ হাজার লোক এনে
b36b79faaa	e68af	বরং হায়েনা বলতে
b36ba9dc1e	a9a58	তুলে ধরে বলা হয়েছে
b36bb212e6	b4ea7	একটি বল দ্বিতীয় বারে যাচ্ছিল
b36bc70bac	e68af	চাইনিজ কুড়াল, চাপাতিসহ
b36bf31824	5639c	ব্রাদার্সের ভারতীয় কোচ
b36c12d041	3f875	সেরা আট দলের সঙ্গে
b36c19b04c	a699c	নারায়ণগঞ্জে সাত খুনের
b36c3066a2	aabe7	তিনি ছিলেন প্রতিশ্রুতিবদ্ধ
b36c4018cd	1cb75	জানাচ্ছেন তারা
b36c98d2e4	11915	লেনিনের সঙ্গে
b36c9e9cd5	43fc0	আমাদের ওর এবং চিকিৎসকদের সঙ্গে
b36cadfc26	8ba2b	কাজ হবে না
b36cb28510	09f0d	বন্ধুগণ
b36cf94ac5	7c272	টাকা পাচারের এই মামলায়
b36d5d438a	ee852	কিন্তু অভিনয়ের দৈন্যতার কারণে
b36d90193d	06e62	নানা নজরকাড়া বিনোদন
b36e8821fa	5354e	৪০ টাকা দরে
b36e944ee1	e8dde	অন্যায় কাজের জন্যে
b36ebbb029	75626	বিএনপি তৃণমূল নেতাকর্মীরা
b36f84f89c	f2b7d	তাপস পাল
b36fa3d50e	3faff	গ্রামপর্যায়ে
b3706efda6	3fce2	আরেকটি বিশ্বাস ছিল
b370f7fcf2	ab946	অভিনীত ‘সাড়ে চুয়াত্তর’ তার প্রথম
b3710367cf	1a4a9	বোমা তৈরি
b3716163a0	0633a	যৌন সম্পর্কের জন্য
b3716a00f0	91dff	সঙ্গতি রেখে
b3718d0da6	2ac82	সেখানে অনন্ত জলিল এই শিল্পে
b3718d2570	39dd0	হত্যাকাণ্ডের প্রত্যক্ষদর্শী কেউ নেই
b371953bea	29bab	এই সিদ্ধান্ত নেয়া হয়েছে
b3720bb22c	91223	ইংরেজের সঙ্গে
b37278bc89	a46e2	সে হারলে দানব
b372b8e2b9	49d63	যে ক্ষণে সংস্কৃত শিখিতে
b372c9859c	3ec4d	প্রতিবাদের অংশ হিসাবে
b373882137	0f047	তিনি লে ক্রয়সিক নামক স্থানে
b373d7af4d	6dff5	তারা একাজে
b373fbe4fd	c41d8	কিছু কিছু শাখা-প্রশাখা
b374052b8f	16cfb	ডেবিট ও ক্রেডিট কার্ড
b3748140ca	6d129	শুধু স্বাভাবিক নয়
b374836b55	3bb15	বিলোপপ্রাপ্ত হইয়াছে
b3751b5852	0d8c1	ভামতী শাখার
b3752dba5b	9065c	কবিতা লিখেছেন
b3752e92b6	e9fa7	এই কাজটি ঘটানোর মতো
b37576369f	2695f	নির্বাচন করবেননা
b376e21b11	a1d4a	তার মাতৃতারার
b3772d5890	fda1a	পেরেছে বলে
b377424ade	943de	সর্বশেষ সিনেমা ছিলো থ্রি ইডিয়টস
b3777b138c	60f77	বিলে বিদ্যমান আইনের
b37786d3b2	92bb2	একজন কৃষকের সন্তান হিসেবে আমি মনে করি এটা কৃষকের পেটে লাথি মারার সমান।
b377beb100	ad2a0	দর্শকদের সন্তুষ্টি
b377cead92	29089	প্রত্যূষে উঠিয়া বন্দীরা
b3780f8cc8	9e923	মার্কেজের ব্যাপারে
b3787ba7bb	9d7bf	বেড়ে যাবে
b378c313ea	c463d	লাটিমের মতো
b378eb70dd	ec91c	একটি বড় উদাহরণ
b378ef5c4c	a1201	বেছে বেছে
b37920298f	d3e06	নাকের ওপর
b37a02c7b9	0e637	রাজামশাইকে কেউ গল্প শুনিয়ে
b37a237859	d9ba9	২০১০ সাল থেকে
b37a43eaa6	121bd	শুধু যদি
b37aa6559f	c6848	পুত্রের বিবাহের জন্য
b37abaac64	d9ba9	তথ্য জানান
b37ad1e924	7027a	১০ জনকে গ্রেপ্তার করেছে পুলিশ
b37ae4c895	5639c	একযোগে মুক্তি দেওয়া হবে
b37b1ebc9b	d711f	ভীষণ বিপদে পড়ে
b37ba84d4b	3ec4d	আগের চেয়ে বেশি আসবে
b37bb04450	98b81	আরেক গার্মেন্টস কর্মী
b37c3cbdfd	967fd	অ্যাক্টিনিয়াম আবিস্কারের
b37ca776ff	9351a	শরীরের বিভিন্ন অংশে
b37d30949d	491a5	অপরাজেয় বাংলায়
b37d321cdd	7e191	ধর্মীয় প্রসঙ্গগুলো
b37d3fb35f	1652d	ঢাকা থেকে আটক করা হয়
b37d6500b6	65652	মি. মোরসির আটকের মেয়াদ
b37d6edc72	e3f89	অ্যাডসেন্স গুগলের
b37d94f1ae	79b06	সুলেখা
b37dd276d7	404ee	শিক্ষানবিস চিকিৎসকরা
b37e799178	06527	তারপর আমাকে বলিলেন
b37ebfca48	b4ea7	কেন্দ্র করে সহিংসত হামলায়
b37ed0eb9c	fdcba	একটি সংবাদ সম্মেলন
b37eeebb2e	ef4f8	কর্মজীবী শিশু-কিশোরদের
b37f2475ed	9282d	এই মুহূর্তে বিরাজমান
b37f417726	6da0a	মৃত্যুর সঙ্গে লড়লেন কয়েক দিন
b3801f5740	ad98d	রাজনীতিক ফয়েজ যেমন মানুষ ছিলেন
b3803b9db5	dfefa	তারাবো পরিবহনে
b38077510d	11915	মেক্সিকো-মার্কিন সীমান্ত থেকে
b380dd8ebc	ac904	আমি ফুলও চিনি না, পাতাও না
b381beb2a2	58998	তাহলে কি দিন যত যাচ্ছে
b382287d15	491a5	মঙ্গলবার শুনানিতে
b38269e0b1	91230	৫ মিনিট ১৬ সেকেন্ড
b382787e9c	ce180	ছাই ব্যবহার করে
b382866635	49543	নিরূপণ কষ্টসাধ্য ব্যাপার
